DrugId,Drug Name,avg_ic50,Unknown num
104,Bortezomib,-6.936718730730553,79
1007,Docetaxel,-4.953459641566643,17
1248,Daporinad,-4.3083245365516,23
201,Epothilone B,-4.198910729161331,56
1494,SN-38,-3.9579267922569725,3
1004,Vinblastine,-3.834300709325214,38
268,Sepantronium bromide,-3.499509283956492,17
283,Omipalisib,-3.3905683304812455,37
180,Thapsigargin,-3.1285254283556863,63
140,Vinorelbine,-2.916199400144465,14
11,Paclitaxel,-2.866566430767049,78
1031,Elesclomol,-2.742183337492101,65
197,Bryostatin 1,-2.5779183350111308,57
194,Luminespib,-2.4745912609561795,16
200,Dacinostat,-2.419232160394842,55
1057,Dactolisib,-2.325984005133311,19
1016,Temsirolimus,-2.0134467803021914,24
3,Rapamycin,-1.9027532952216764,83
208,Ispinesib Mesylate,-1.8768086570959825,39
83,JW-7-52-1,-1.7088539171608657,367
60,BI-2536,-1.5647433956900796,89
135,Gemcitabine,-1.4514846853141128,15
1060,PD0325901,-1.08939950466156,18
1372,Trametinib,-1.0430145668533612,12
133,Doxorubicin,-1.0095080028880725,55
51,Dasatinib,-0.7607083748464715,77
1026,Tanespimycin,-0.7529812279869529,19
273,CUDC-101,-0.5234648533489393,46
1149,TW 37,-0.49662155906359357,31
86,A-443654,-0.4592472357409341,364
272,AR-42,-0.38888806104660034,43
1008,Methotrexate,-0.36925388075584586,22
136,Mitomycin-C,-0.3415099935098128,55
328,SNX-2112,-0.32928699568698283,38
1024,Lestaurtinib,-0.2611309365294446,20
9,MG-132,-0.13970303225190672,76
1529,Pevonedistat,-0.12810083861286575,29
182,Obatoclax Mesylate,-0.07245691219965616,27
1059,AZD8055,-0.03595688541730245,38
1022,AZD7762,-0.02523579015288242,17
1230,IOX2,-0.024205329020818074,16
53,CGP-60474,0.007679852483036754,364
87,GW843682X,0.04722061383822733,363
308,Foretinib,0.06681483652856615,10
274,Belinostat,0.1468626305742084,53
157,JNK-9L,0.17460735600728255,52
312,Tivozanib,0.19612656612145274,38
1006,Cytarabine,0.21054928825142677,40
299,OSI-027,0.34572272422986156,13
302,PI-103,0.35352022182650683,41
276,CAY10603,0.48987547159194944,40
223,ZSTK474,0.5681008822039554,38
170,Shikonin,0.6665036802021962,53
155,Ponatinib,0.7143262452804126,52
45,Z-LLNle-CHO,0.7182382448361471,364
226,GSK1070916,0.7256684553623199,50
184,BMS-754807,0.8701747827610727,15
1242,(5Z)-7-Oxozeaenol,0.8724915063059008,37
